Metric,Baseline Model,Fine-Tuned Model
Accuracy,0.907,0.8995
Precision,0.8975095785440613,0.8622222222222222
Recall,0.922244094488189,0.9547244094488189
F1-score,0.9097087378640777,0.9061186361513311
