Metric,Baseline Model,Fine-Tuned Model
Accuracy,0.9095,0.8995
Precision,0.900287631831256,0.8622222222222222
Recall,0.9242125984251969,0.9547244094488189
F1-score,0.9120932491500728,0.9061186361513311
